make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.917,1450
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.625357142857142,1600
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.9004,2350
Honda,Civic HX,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.597096774193547,1400
Honda,Civic HX,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.015454545454546,1350
Honda,Prelude,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.167142857142858,2800
Honda,Prelude,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2650
Hyundai,Tiburon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Hyundai,Tiburon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Jaguar,XK8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250
Jaguar,XKR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,17.500588235294117,3450
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,15.65842105263158,3050
Mercedes-Benz,CLK320,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.167142857142858,2800
Mercedes-Benz,CLK430,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,15.65842105263158,3050
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2900
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.625357142857142,1600
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,9.597096774193547,1400
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.9004,1750
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2000
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850
Rolls-Royce,Corniche,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2200
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2650
Saab,9-3 Viggen Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,14.167142857142858,2800
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.018888888888888,1650
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.442692307692308,1700
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,10.25896551724138,1500
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.018888888888888,1650
Subaru,Impreza AWD,2000,Automatic,4WD,2000-2010,Gas,Car,4.0,2.5,-1,13.52318181818182,2000
Subaru,Impreza AWD,2000,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,14.167142857142858,2100
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.25896551724138,1500
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650
Suzuki,Swift,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,10.625357142857142,1600
Suzuki,Swift,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,8.750294117647059,1300
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,2300
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550
Volkswagen,Cabrio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Volkswagen,Cabrio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,10.82409090909091,1650
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,9.399868421052632,1450
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.3,-1,15.65842105263158,3050
Volvo,C70 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,5.0,2.3,-1,14.8755,2900
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.4,-1,15.65842105263158,3050
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.167142857142858,2800
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800
Audi,A4 quattro,2000,Automatic,4WD,2000-2010,Gas,Car,4.0,1.8,-1,14.8755,2900
Audi,A4 quattro,2000,Manual,4WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650
Audi,A4 quattro,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,2.8,-1,16.528333333333336,3250
Audi,A4 quattro,2000,Manual,4WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
Audi,S4,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250
Audi,S4,2000,Manual,4WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250
Bentley,Continental R,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050
BMW,323i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.8755,2900
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,328i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050
BMW,528i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,16.528333333333336,3250
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650
BMW,540i,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650
BMW,M5,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,19.834,3900
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,10.625357142857142,1600
Chevrolet,Prizm,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,9.917,1450
Chrysler,Sebring,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,2300
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.9004,1750
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.442692307692308,1700
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.39625,1850
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Daewoo,Nubira,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Daewoo,Nubira,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Dodge,Avenger,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200
Dodge,Neon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Dodge,Neon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Ford,Escort,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Ford,Escort,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Hyundai,Accent/Brio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.442692307692308,1700
Hyundai,Accent/Brio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.625357142857142,1600
Hyundai,Elantra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000
Hyundai,Elantra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Infiniti,G20,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Infiniti,G20,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Jaguar,XJ8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250
Jaguar,XJR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,18.594375,3650
Kia,Sephia/Spectra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900
Kia,Sephia/Spectra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2000
Lexus,ES 300,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2200
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Mercury,Cougar,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100
Mazda,Millenia,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.3,-1,14.8755,2900
Mazda,Millenia,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900
Mazda,Protege,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700
Mazda,Protege,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650
Mazda,Protege,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900
Mazda,Protege,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.9004,1750
Mercedes-Benz,C230 Kompressor,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.3,-1,13.52318181818182,2650
Mercedes-Benz,C280,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800
Mercedes-Benz,C43 AMG,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,16.528333333333336,3250
Mercedes-Benz,CL500,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,17.500588235294117,3450
Nissan,Altima,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100
Nissan,Altima,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850
Nissan,Sentra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Nissan,Sentra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700
Nissan,Sentra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900
Nissan,Sentra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Oldsmobile,Alero,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Oldsmobile,Alero,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Oldsmobile,Alero,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.4,-1,14.167142857142858,2100
Plymouth,Neon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850
Plymouth,Neon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650
Pontiac,Grand Am,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
Pontiac,Grand Am,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900
