make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08,comb08,highway08,city08
Chevrolet,Cavalier,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850,24,30,20
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,8.264166666666668,1200,36,41,32
Chevrolet,Metro,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,10.625357142857142,1600,28,31,26
Chevrolet,Metro,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,8.750294117647059,1300,34,38,31
Ferrari,456 MGT/MGA,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,5.5,-1,27.04636363636364,5300,11,14,9
Ferrari,456 MGT/MGA,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,27.04636363636364,5300,11,15,9
Ford,Escort ZX2,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,30,22
Ford,Escort ZX2,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,30,22
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200,20,25,18
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100,21,26,17
Ford,Mustang,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450,18,22,16
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,2450,18,23,15
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.6,-1,16.528333333333336,3250,18,23,15
Ford,Mustang,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.4,-1,21.250714285714285,4150,14,17,12
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650,27,32,24
Honda,Civic,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.018888888888888,1650,27,32,24
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.917,1450,30,33,27
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.625357142857142,1600,28,32,25
Honda,Civic,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.9004,2350,25,29,22
Honda,Civic HX,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.597096774193547,1400,31,35,29
Honda,Civic HX,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,9.015454545454546,1350,33,39,30
Honda,Prelude,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,14.167142857142858,2800,21,24,19
Honda,Prelude,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2650,22,25,20
Hyundai,Tiburon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,28,19
Hyundai,Tiburon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,29,21
Jaguar,XK8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250,18,23,16
Jaguar,XKR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,17.500588235294117,3450,17,21,15
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,3050,19,22,17
Lexus,SC,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,15.65842105263158,3050,19,23,16
Mercedes-Benz,CLK320,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.2,-1,14.167142857142858,2800,21,26,18
Mercedes-Benz,CLK430,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.3,-1,15.65842105263158,3050,19,23,16
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100,21,25,18
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,14.167142857142858,2100,21,25,18
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900,23,28,20
Mitsubishi,Eclipse,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2900,20,25,18
Mitsubishi,Eclipse,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.167142857142858,2800,21,26,18
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.625357142857142,1600,28,32,25
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,9.597096774193547,1400,31,36,28
Mitsubishi,Mirage,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.9004,1750,25,30,22
Mitsubishi,Mirage,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650,27,33,24
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.8755,2200,20,26,17
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.8,-1,14.167142857142858,2100,21,28,17
Pontiac,Firebird/Trans Am,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,16.528333333333336,3250,18,23,15
Pontiac,Firebird/Trans Am,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,15.65842105263158,3050,19,25,16
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,13.52318181818182,2000,22,26,20
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900,23,29,20
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.39625,1850,24,31,21
Pontiac,Sunfire,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.935217391304349,1900,23,28,19
Pontiac,Sunfire,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.4,-1,12.39625,1850,24,30,20
Rolls-Royce,Corniche,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850,12,15,10
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2900,20,24,17
Saab,9-3 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,14.8755,2200,20,23,18
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,27,19
Saab,9-3 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2650,22,27,19
Saab,9-3 Viggen Convertible,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.3,-1,14.167142857142858,2800,21,27,18
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.018888888888888,1650,27,33,23
Saturn,SC,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.442692307692308,1700,26,32,22
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,10.25896551724138,1500,29,36,25
Saturn,SC,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.9,-1,11.018888888888888,1650,27,34,23
Subaru,Impreza AWD,2000,Automatic,4WD,2000-2010,Gas,Car,4.0,2.5,-1,13.52318181818182,2000,22,26,20
Subaru,Impreza AWD,2000,Manual,4WD,2000-2010,Gas,Car,4.0,2.5,-1,14.167142857142858,2100,21,25,18
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700,26,31,24
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,10.25896551724138,1500,29,33,26
Suzuki,Esteem,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700,26,30,23
Suzuki,Esteem,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650,27,32,24
Suzuki,Swift,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.3,-1,10.625357142857142,1600,28,31,26
Suzuki,Swift,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.3,-1,8.750294117647059,1300,34,38,31
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.2,-1,12.935217391304349,1900,23,28,20
Toyota,Camry Solara Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,15.65842105263158,2300,19,24,17
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700,26,31,23
Toyota,Celica,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550,23,27,20
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.018888888888888,1650,27,31,24
Toyota,Celica,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,2550,23,29,20
Volkswagen,Cabrio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,26,19
Volkswagen,Cabrio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,28,21
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650,22,25,19
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450,24,28,22
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,10.82409090909091,1650,33,40,29
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Diesel,Car,4.0,1.9,-1,9.399868421052632,1450,38,44,35
Volkswagen,New Beetle,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,26,19
Volkswagen,New Beetle,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,28,21
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.3,-1,15.65842105263158,3050,19,23,17
Volvo,C70 Convertible,2000,Manual,2WD,2000-2010,Gas,Car,5.0,2.3,-1,14.8755,2900,20,24,18
Volvo,C70 Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,5.0,2.4,-1,15.65842105263158,3050,19,24,17
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.167142857142858,2800,21,28,18
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.39625,2450,24,29,21
Audi,A4,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,16
Audi,A4,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800,21,26,18
Audi,A4 quattro,2000,Automatic,4WD,2000-2010,Gas,Car,4.0,1.8,-1,14.8755,2900,20,26,17
Audi,A4 quattro,2000,Manual,4WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2650,22,26,19
Audi,A4 quattro,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,2.8,-1,16.528333333333336,3250,18,23,16
Audi,A4 quattro,2000,Manual,4WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,23,16
Audi,S4,2000,Automatic,4WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250,18,22,15
Audi,S4,2000,Manual,4WD,2000-2010,Gas,Car,6.0,2.7,-1,16.528333333333336,3250,18,22,15
Bentley,Continental R,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,6.7,-1,24.7925,4850,12,15,10
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2900,20,26,17
BMW,323i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,3050,19,25,17
BMW,323i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2800,21,26,18
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.8755,2900,20,25,17
BMW,328i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,25,16
BMW,328i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800,21,26,18
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,16
BMW,528i,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,15.65842105263158,3050,19,24,16
BMW,528i,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,14.167142857142858,2800,21,26,18
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,16.528333333333336,3250,18,22,16
BMW,540i,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650,16,19,14
BMW,540i,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.4,-1,18.594375,3650,16,21,14
BMW,M5,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,19.834,3900,15,19,12
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,11.442692307692308,1700,26,29,24
Chevrolet,Prizm,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,10.625357142857142,1600,28,34,25
Chevrolet,Prizm,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,9.917,1450,30,34,27
Chrysler,Sebring,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200,20,25,17
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200,20,25,17
Chrysler,Sebring Convertible,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,15.65842105263158,2300,19,24,16
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.9004,1750,25,33,21
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.442692307692308,1700,26,32,23
Daewoo,Lanos,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.6,-1,12.39625,1850,24,31,20
Daewoo,Lanos,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.6,-1,11.442692307692308,1700,26,33,23
Daewoo,Nubira,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,28,19
Daewoo,Nubira,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900,23,28,20
Dodge,Avenger,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.8755,2200,20,25,17
Dodge,Neon,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,28,22
Dodge,Neon,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650,27,31,24
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900,23,28,19
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,31,21
Ford,Contour,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,26,18
Ford,Contour,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,27,18
Ford,Escort,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700,26,31,22
Ford,Escort,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650,27,32,24
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.442692307692308,1700,26,30,23
Ford,Focus,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,28,22
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.018888888888888,1650,27,32,24
Ford,Focus,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,31,22
Hyundai,Accent/Brio,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.5,-1,11.442692307692308,1700,26,31,23
Hyundai,Accent/Brio,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.5,-1,10.625357142857142,1600,28,33,24
Hyundai,Elantra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,13.52318181818182,2000,22,28,19
Hyundai,Elantra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,30,21
Infiniti,G20,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900,23,28,20
Infiniti,G20,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.39625,1850,24,29,21
Jaguar,XJ8,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,16.528333333333336,3250,18,22,15
Jaguar,XJR,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,4.0,-1,18.594375,3650,16,20,14
Kia,Sephia/Spectra,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,12.935217391304349,1900,23,29,20
Kia,Sephia/Spectra,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.52318181818182,2000,22,26,20
Lexus,ES 300,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,14.8755,2200,20,24,17
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,31,21
Mercury,Cougar,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,26,18
Mercury,Cougar,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,26,18
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,2.0,-1,12.935217391304349,1900,23,28,19
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,11.9004,1750,25,31,21
Mercury,Mystique,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,26,18
Mercury,Mystique,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,14.167142857142858,2100,21,26,18
