,make,model,year,cylinders,trany,displ,VClass,co2,barrels08,fuelCost08,fuelType,highway08,city08,comb08
51,Acura,Integra,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,28.0,21.0,23.0
52,Acura,Integra,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,12.39625,1850.0,Regular,28.0,22.0,24.0
53,Acura,Integra,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,12.39625,2450.0,Premium,28.0,22.0,24.0
54,Bentley,Azure,2000.0,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1.0,24.7925,4850.0,Premium,15.0,10.0,12.0
55,Bentley,Continental SC,2000.0,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1.0,24.7925,4850.0,Premium,15.0,10.0,12.0
56,Bentley,Continental T,2000.0,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1.0,24.7925,4850.0,Premium,15.0,10.0,12.0
57,BMW,323ci,2000.0,6.0,Automatic 5-spd,2.5,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,25.0,17.0,19.0
58,BMW,323ci,2000.0,6.0,Manual 5-spd,2.5,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
59,BMW,328ci,2000.0,6.0,Automatic 5-spd,2.8,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,25.0,16.0,19.0
60,BMW,328ci,2000.0,6.0,Manual 5-spd,2.8,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
61,Chevrolet,Camaro,2000.0,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1.0,14.8755,2200.0,Regular,26.0,17.0,20.0
62,Chevrolet,Camaro,2000.0,6.0,Manual 5-spd,3.8,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,28.0,17.0,21.0
63,Chevrolet,Camaro,2000.0,8.0,Automatic 4-spd,5.7,Subcompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
64,Chevrolet,Camaro,2000.0,8.0,Manual 6-spd,5.7,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,25.0,16.0,19.0
65,Chevrolet,Cavalier,2000.0,4.0,Automatic 3-spd,2.2,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,26.0,20.0,22.0
66,Chevrolet,Cavalier,2000.0,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,29.0,20.0,23.0
67,Chevrolet,Cavalier,2000.0,4.0,Manual 5-spd,2.2,Subcompact Cars,-1.0,12.39625,1850.0,Regular,31.0,21.0,24.0
68,Chevrolet,Cavalier,2000.0,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,28.0,19.0,23.0
69,Chevrolet,Cavalier,2000.0,4.0,Manual 5-spd,2.4,Subcompact Cars,-1.0,12.39625,1850.0,Regular,30.0,20.0,24.0
70,Chevrolet,Metro,2000.0,3.0,Manual 5-spd,1.0,Subcompact Cars,-1.0,8.264166667,1200.0,Regular,41.0,32.0,36.0
71,Chevrolet,Metro,2000.0,4.0,Automatic 3-spd,1.3,Subcompact Cars,-1.0,10.62535714,1600.0,Regular,31.0,26.0,28.0
72,Chevrolet,Metro,2000.0,4.0,Manual 5-spd,1.3,Subcompact Cars,-1.0,8.750294118,1300.0,Regular,38.0,31.0,34.0
73,Ferrari,456 MGT/MGA,2000.0,12.0,Automatic 4-spd,5.5,Subcompact Cars,-1.0,27.04636364,5300.0,Premium,14.0,9.0,11.0
74,Ferrari,456 MGT/MGA,2000.0,12.0,Manual 6-spd,5.5,Subcompact Cars,-1.0,27.04636364,5300.0,Premium,15.0,9.0,11.0
75,Ford,Escort ZX2,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,11.9004,1750.0,Regular,30.0,22.0,25.0
76,Ford,Escort ZX2,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,11.9004,1750.0,Regular,30.0,22.0,25.0
77,Ford,Mustang,2000.0,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1.0,14.8755,2200.0,Regular,25.0,18.0,20.0
78,Ford,Mustang,2000.0,6.0,Manual 5-spd,3.8,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,26.0,17.0,21.0
79,Ford,Mustang,2000.0,8.0,Automatic 4-spd,4.6,Subcompact Cars,-1.0,16.52833333,2450.0,Regular,22.0,16.0,18.0
80,Ford,Mustang,2000.0,8.0,Manual 5-spd,4.6,Subcompact Cars,-1.0,16.52833333,2450.0,Regular,23.0,15.0,18.0
81,Ford,Mustang,2000.0,8.0,Manual 5-spd,4.6,Subcompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
82,Ford,Mustang,2000.0,8.0,Manual 6-spd,5.4,Subcompact Cars,-1.0,21.25071429,4150.0,Premium,17.0,12.0,14.0
83,Honda,Civic,2000.0,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,32.0,24.0,27.0
84,Honda,Civic,2000.0,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,32.0,24.0,27.0
85,Honda,Civic,2000.0,4.0,Manual 5-spd,1.6,Subcompact Cars,-1.0,9.917,1450.0,Regular,33.0,27.0,30.0
86,Honda,Civic,2000.0,4.0,Manual 5-spd,1.6,Subcompact Cars,-1.0,10.62535714,1600.0,Regular,32.0,25.0,28.0
87,Honda,Civic,2000.0,4.0,Manual 5-spd,1.6,Subcompact Cars,-1.0,11.9004,2350.0,Premium,29.0,22.0,25.0
88,Honda,Civic HX,2000.0,4.0,Automatic (variable gear ratios),1.6,Subcompact Cars,-1.0,9.597096774,1400.0,Regular,35.0,29.0,31.0
89,Honda,Civic HX,2000.0,4.0,Manual 5-spd,1.6,Subcompact Cars,-1.0,9.015454545,1350.0,Regular,39.0,30.0,33.0
90,Honda,Prelude,2000.0,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,24.0,19.0,21.0
91,Honda,Prelude,2000.0,4.0,Manual 5-spd,2.2,Subcompact Cars,-1.0,13.52318182,2650.0,Premium,25.0,20.0,22.0
92,Hyundai,Tiburon,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,28.0,19.0,22.0
93,Hyundai,Tiburon,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,12.39625,1850.0,Regular,29.0,21.0,24.0
94,Jaguar,XK8,2000.0,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,16.0,18.0
95,Jaguar,XKR,2000.0,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1.0,17.50058824,3450.0,Premium,21.0,15.0,17.0
96,Lexus,SC,2000.0,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,22.0,17.0,19.0
97,Lexus,SC,2000.0,8.0,Automatic 5-spd,4.0,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,23.0,16.0,19.0
98,Mercedes-Benz,CLK320,2000.0,6.0,Automatic 5-spd,3.2,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
99,Mercedes-Benz,CLK430,2000.0,8.0,Automatic 5-spd,4.3,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,23.0,16.0,19.0
100,Mitsubishi,Eclipse,2000.0,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,25.0,18.0,21.0
101,Mitsubishi,Eclipse,2000.0,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,25.0,18.0,21.0
102,Mitsubishi,Eclipse,2000.0,4.0,Manual 5-spd,2.4,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,28.0,20.0,23.0
103,Mitsubishi,Eclipse,2000.0,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1.0,14.8755,2900.0,Premium,25.0,18.0,20.0
104,Mitsubishi,Eclipse,2000.0,6.0,Manual 5-spd,3.0,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
105,Mitsubishi,Mirage,2000.0,4.0,Automatic 4-spd,1.5,Subcompact Cars,-1.0,10.62535714,1600.0,Regular,32.0,25.0,28.0
106,Mitsubishi,Mirage,2000.0,4.0,Manual 5-spd,1.5,Subcompact Cars,-1.0,9.597096774,1400.0,Regular,36.0,28.0,31.0
107,Mitsubishi,Mirage,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,11.9004,1750.0,Regular,30.0,22.0,25.0
108,Mitsubishi,Mirage,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,33.0,24.0,27.0
109,Pontiac,Firebird/Trans Am,2000.0,6.0,Automatic 4-spd,3.8,Subcompact Cars,-1.0,14.8755,2200.0,Regular,26.0,17.0,20.0
110,Pontiac,Firebird/Trans Am,2000.0,6.0,Manual 5-spd,3.8,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,28.0,17.0,21.0
111,Pontiac,Firebird/Trans Am,2000.0,8.0,Automatic 4-spd,5.7,Subcompact Cars,-1.0,16.52833333,3250.0,Premium,23.0,15.0,18.0
112,Pontiac,Firebird/Trans Am,2000.0,8.0,Manual 6-spd,5.7,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,25.0,16.0,19.0
113,Pontiac,Sunfire,2000.0,4.0,Automatic 3-spd,2.2,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,26.0,20.0,22.0
114,Pontiac,Sunfire,2000.0,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,29.0,20.0,23.0
115,Pontiac,Sunfire,2000.0,4.0,Manual 5-spd,2.2,Subcompact Cars,-1.0,12.39625,1850.0,Regular,31.0,21.0,24.0
116,Pontiac,Sunfire,2000.0,4.0,Automatic 4-spd,2.4,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,28.0,19.0,23.0
117,Pontiac,Sunfire,2000.0,4.0,Manual 5-spd,2.4,Subcompact Cars,-1.0,12.39625,1850.0,Regular,30.0,20.0,24.0
118,Rolls-Royce,Corniche,2000.0,8.0,Automatic 4-spd,6.7,Subcompact Cars,-1.0,24.7925,4850.0,Premium,15.0,10.0,12.0
119,Saab,9-3 Convertible,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,14.8755,2900.0,Premium,24.0,17.0,20.0
120,Saab,9-3 Convertible,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,14.8755,2200.0,Regular,23.0,18.0,20.0
121,Saab,9-3 Convertible,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,27.0,19.0,22.0
122,Saab,9-3 Convertible,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,13.52318182,2650.0,Premium,27.0,19.0,22.0
123,Saab,9-3 Viggen Convertible,2000.0,4.0,Manual 5-spd,2.3,Subcompact Cars,-1.0,14.16714286,2800.0,Premium,27.0,18.0,21.0
124,Saturn,SC,2000.0,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,33.0,23.0,27.0
125,Saturn,SC,2000.0,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1.0,11.44269231,1700.0,Regular,32.0,22.0,26.0
126,Saturn,SC,2000.0,4.0,Manual 5-spd,1.9,Subcompact Cars,-1.0,10.25896552,1500.0,Regular,36.0,25.0,29.0
127,Saturn,SC,2000.0,4.0,Manual 5-spd,1.9,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,34.0,23.0,27.0
128,Subaru,Impreza AWD,2000.0,4.0,Automatic 4-spd,2.5,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,26.0,20.0,22.0
129,Subaru,Impreza AWD,2000.0,4.0,Manual 5-spd,2.5,Subcompact Cars,-1.0,14.16714286,2100.0,Regular,25.0,18.0,21.0
130,Suzuki,Esteem,2000.0,4.0,Automatic 4-spd,1.6,Subcompact Cars,-1.0,11.44269231,1700.0,Regular,31.0,24.0,26.0
131,Suzuki,Esteem,2000.0,4.0,Manual 5-spd,1.6,Subcompact Cars,-1.0,10.25896552,1500.0,Regular,33.0,26.0,29.0
132,Suzuki,Esteem,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,11.44269231,1700.0,Regular,30.0,23.0,26.0
133,Suzuki,Esteem,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,32.0,24.0,27.0
134,Suzuki,Swift,2000.0,4.0,Automatic 3-spd,1.3,Subcompact Cars,-1.0,10.62535714,1600.0,Regular,31.0,26.0,28.0
135,Suzuki,Swift,2000.0,4.0,Manual 5-spd,1.3,Subcompact Cars,-1.0,8.750294118,1300.0,Regular,38.0,31.0,34.0
136,Toyota,Camry Solara Convertible,2000.0,4.0,Automatic 4-spd,2.2,Subcompact Cars,-1.0,12.93521739,1900.0,Regular,28.0,20.0,23.0
137,Toyota,Camry Solara Convertible,2000.0,6.0,Automatic 4-spd,3.0,Subcompact Cars,-1.0,15.65842105,2300.0,Regular,24.0,17.0,19.0
138,Toyota,Celica,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,11.44269231,1700.0,Regular,31.0,23.0,26.0
139,Toyota,Celica,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,12.93521739,2550.0,Premium,27.0,20.0,23.0
140,Toyota,Celica,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,11.01888889,1650.0,Regular,31.0,24.0,27.0
141,Toyota,Celica,2000.0,4.0,Manual 6-spd,1.8,Subcompact Cars,-1.0,12.93521739,2550.0,Premium,29.0,20.0,23.0
142,Volkswagen,Cabrio,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,26.0,19.0,22.0
143,Volkswagen,Cabrio,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,12.39625,1850.0,Regular,28.0,21.0,24.0
144,Volkswagen,New Beetle,2000.0,4.0,Automatic 4-spd,1.8,Subcompact Cars,-1.0,13.52318182,2650.0,Premium,25.0,19.0,22.0
145,Volkswagen,New Beetle,2000.0,4.0,Manual 5-spd,1.8,Subcompact Cars,-1.0,12.39625,2450.0,Premium,28.0,22.0,24.0
146,Volkswagen,New Beetle,2000.0,4.0,Automatic 4-spd,1.9,Subcompact Cars,-1.0,10.82409091,1650.0,Diesel,40.0,29.0,33.0
147,Volkswagen,New Beetle,2000.0,4.0,Manual 5-spd,1.9,Subcompact Cars,-1.0,9.399868421,1450.0,Diesel,44.0,35.0,38.0
148,Volkswagen,New Beetle,2000.0,4.0,Automatic 4-spd,2.0,Subcompact Cars,-1.0,13.52318182,2000.0,Regular,26.0,19.0,22.0
149,Volkswagen,New Beetle,2000.0,4.0,Manual 5-spd,2.0,Subcompact Cars,-1.0,12.39625,1850.0,Regular,28.0,21.0,24.0
150,Volvo,C70 Convertible,2000.0,5.0,Automatic 4-spd,2.3,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,23.0,17.0,19.0
151,Volvo,C70 Convertible,2000.0,5.0,Manual 5-spd,2.3,Subcompact Cars,-1.0,14.8755,2900.0,Premium,24.0,18.0,20.0
152,Volvo,C70 Convertible,2000.0,5.0,Automatic 4-spd,2.4,Subcompact Cars,-1.0,15.65842105,3050.0,Premium,24.0,17.0,19.0
153,Audi,A4,2000.0,4.0,Automatic 5-spd,1.8,Compact Cars,-1.0,14.16714286,2800.0,Premium,28.0,18.0,21.0
154,Audi,A4,2000.0,4.0,Manual 5-spd,1.8,Compact Cars,-1.0,12.39625,2450.0,Premium,29.0,21.0,24.0
155,Audi,A4,2000.0,6.0,Automatic 5-spd,2.8,Compact Cars,-1.0,15.65842105,3050.0,Premium,24.0,16.0,19.0
156,Audi,A4,2000.0,6.0,Manual 5-spd,2.8,Compact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
157,Audi,A4 quattro,2000.0,4.0,Automatic 5-spd,1.8,Compact Cars,-1.0,14.8755,2900.0,Premium,26.0,17.0,20.0
158,Audi,A4 quattro,2000.0,4.0,Manual 5-spd,1.8,Compact Cars,-1.0,13.52318182,2650.0,Premium,26.0,19.0,22.0
159,Audi,A4 quattro,2000.0,6.0,Automatic 5-spd,2.8,Compact Cars,-1.0,16.52833333,3250.0,Premium,23.0,16.0,18.0
160,Audi,A4 quattro,2000.0,6.0,Manual 5-spd,2.8,Compact Cars,-1.0,15.65842105,3050.0,Premium,23.0,16.0,19.0
161,Audi,S4,2000.0,6.0,Automatic 5-spd,2.7,Compact Cars,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
162,Audi,S4,2000.0,6.0,Manual 6-spd,2.7,Compact Cars,-1.0,16.52833333,3250.0,Premium,22.0,15.0,18.0
163,Bentley,Continental R,2000.0,8.0,Automatic 4-spd,6.7,Compact Cars,-1.0,24.7925,4850.0,Premium,15.0,10.0,12.0
164,BMW,323i,2000.0,6.0,Automatic 5-spd,2.5,Compact Cars,-1.0,14.8755,2900.0,Premium,26.0,17.0,20.0
165,BMW,323i,2000.0,6.0,Automatic 5-spd,2.5,Compact Cars,-1.0,15.65842105,3050.0,Premium,25.0,17.0,19.0
166,BMW,323i,2000.0,6.0,Manual 5-spd,2.5,Compact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
167,BMW,328i,2000.0,6.0,Automatic 5-spd,2.8,Compact Cars,-1.0,14.8755,2900.0,Premium,25.0,17.0,20.0
168,BMW,328i,2000.0,6.0,Automatic 5-spd,2.8,Compact Cars,-1.0,15.65842105,3050.0,Premium,25.0,16.0,19.0
169,BMW,328i,2000.0,6.0,Manual 5-spd,2.8,Compact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
170,BMW,528i,2000.0,6.0,Automatic 4-spd,2.8,Compact Cars,-1.0,15.65842105,3050.0,Premium,24.0,16.0,19.0
171,BMW,528i,2000.0,6.0,Automatic 5-spd,2.8,Compact Cars,-1.0,15.65842105,3050.0,Premium,24.0,16.0,19.0
172,BMW,528i,2000.0,6.0,Manual 5-spd,2.8,Compact Cars,-1.0,14.16714286,2800.0,Premium,26.0,18.0,21.0
173,BMW,540i,2000.0,8.0,Automatic 5-spd,4.4,Compact Cars,-1.0,16.52833333,3250.0,Premium,22.0,16.0,18.0
174,BMW,540i,2000.0,8.0,Automatic 5-spd,4.4,Compact Cars,-1.0,18.594375,3650.0,Premium,19.0,14.0,16.0
175,BMW,540i,2000.0,8.0,Manual 6-spd,4.4,Compact Cars,-1.0,18.594375,3650.0,Premium,21.0,14.0,16.0
176,BMW,M5,2000.0,8.0,Manual 6-spd,4.9,Compact Cars,-1.0,19.834,3900.0,Premium,19.0,12.0,15.0
177,Chevrolet,Prizm,2000.0,4.0,Automatic 3-spd,1.8,Compact Cars,-1.0,11.44269231,1700.0,Regular,29.0,24.0,26.0
178,Chevrolet,Prizm,2000.0,4.0,Automatic 4-spd,1.8,Compact Cars,-1.0,10.62535714,1600.0,Regular,34.0,25.0,28.0
179,Chevrolet,Prizm,2000.0,4.0,Manual 5-spd,1.8,Compact Cars,-1.0,9.917,1450.0,Regular,34.0,27.0,30.0
180,Chrysler,Sebring,2000.0,6.0,Automatic 4-spd,2.5,Compact Cars,-1.0,14.8755,2200.0,Regular,25.0,17.0,20.0
181,Chrysler,Sebring Convertible,2000.0,6.0,Automatic 4-spd,2.5,Compact Cars,-1.0,14.8755,2200.0,Regular,25.0,17.0,20.0
